Message,Action
"Kubernetes uygulamaları için güvenlik taraması yapılmalı","perform_security_scan_for_kubernetes_apps_pb"
"Redis yedekleme işlemi zaten çalışıyor","Aksiyon yok"
"Filebeat mevcut, ek bir adım gerekmiyor","Aksiyon yok"
"Dpkg güncellemesi yapılmalı.","dpkg_update_pb"
"ML modülleri yüklenmeli ve çalıştırılmalı", "ml_install_pb"
"Node.js kurulumu gerekebilir ve yapılandırılmalıdır","nodejs_install_pb"
"A/B testi için yeni bir versiyon dağıtılmalı ve sonuçlar analiz edilmeli","deploy_new_version_for_ab_testing_pb"
"Python sanal ortam zaten oluşturulmuş, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Dpkg güncel, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Apache Tomcat yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Python sanal ortam oluşturulmalı","python_env_create_pb"
"MySQL veritabanı yedekleme işlemi başlatılmalı","mysql_backup_pb"
"Docker indirilip kurulmalı","docker_install_pb"
"Kubernetes kümelenmesinden gereksiz pod'lar kaldırılmalıdır","remove_unused_pods_from_kubernetes_cluster_pb"
"Git yüklemesi gerçekleştirilmeli","git_install_pb"
"Dpkg güncel, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Apache Tomcat yüklü, başka bir işlem gerekmiyor","Aksiyon yok"
"Python sanal ortam oluşturulmalı","python_env_create_pb"
"Docker indirilmeli ve yüklenmeli","docker_install_pb"
"Apache Tomcat kurulumu gerekebilir ve yapılandırılmalıdır","tomcat_install_pb"
"PostgreSQL zaten güncel, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Filebeat mevcut, ek bir adım gerekli değil","Aksiyon yok"
"CI/CD pipeline'ı otomatik olarak başlatılmalı ve yeni bir kod değişikliği dağıtılmalıdır","start_ci_cd_pipeline_pb"
"PHP zaten yüklü, başka bir işlem gerekmiyor","Aksiyon yok"
"Veritabanı yedeklemesi alınmalı ve yedekler düzenli olarak test edilmelidir","backup_and_test_databases_pb"
"Redis veritabanı yedeği alınmalı ve düzenli olarak test edilmelidir","redis_backup_pb"
"WordPress zaten yüklü","Aksiyon yok"
"Filebeat kurulumu yapılmalı, Logstash'e bağlansın","filebeat_install_pb"
"Veritabanı yedeklemesi alınmalı ve yedekler düzenli olarak test edilmelidir","backup_and_test_databases_pb"
"Log analiz aracı üzerinde yeni bir alarm tanımlanmalı ve operasyon ekiplerine bildirilmelidir","define_new_alarm_on_log_analysis_tool_pb"
"Filebeat mevcut, ek bir işlem gerekmeyebilir","Aksiyon yok"
"Jenkins zaten yüklü, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Kubernetes etkinlik günlükleri izlenmeli ve gerektiğinde müdahale edilmelidir","monitor_kubernetes_event_logs_pb"
"Git zaten yüklü","Aksiyon yok"
"Scikit-learn güncel, başka bir işlem gerekli olmayabilir","Aksiyon yok"
"Serverless fonksiyonlar için yeni bir güncelleme başlatılmalı","deploy_and_test_new_version_for_serverless_functions_pb"
"Uygulama sunucusunda performans izlemesi başlatılmalı ve gerektiğinde ölçeklendirme yapılmalı","start_performance_monitoring_pb"
"Python sanal ortam zaten oluşturulmuş","Aksiyon yok"
"ML modülleri yüklenmeli", "ml_install_pb"
"Jenkins yüklemesi gerekebilir ve yapılandırılmalıdır","jenkins_install_pb"
"Uygulama sunucusunda hata günlükleri izlenmeli ve analiz edilmelidir","analyze_error_logs_pb"
"Kubernetes etkinlik günlükleri izlenmeli ve gerektiğinde müdahale edilmelidir","monitor_kubernetes_event_logs_pb"
"Git yüklemesi ve yapılandırması gerçekleştirilmeli","git_install_pb"
"ML modullerini yüklemeye gerek yoktur.", "Aksiyon yok"
"Uygulama sunucusunda güvenlik taraması yapılmalı","perform_security_scan_pb"
"Yük dengeleyici (load balancer) üzerinde gereksiz EC2 örnekleri durdurulmalıdır","stop_unused_ec2_instances_pb"
"Docker indirilip kurulmalıdır","docker_install_pb"
"Elasticsearch bu makinede zaten mevcut","Aksiyon yok"
"Dpkg günceldir.","Aksiyon yok"
"Scikit-learn modülü güncellenmeli.","sklearn_update_pb"
"Django projesi zaten oluşturulmuş","Aksiyon yok"
"Nginx kurulumu yapılmalı","nginx_install_pb"
